Date,Group,Sap_Flow,TWaterFlux,pLWP,mLWP
11/13/19,Drought-sensitive understory,0.383950054,0.207370883,-0.73747436,-1.290534268
11/13/19,Drought-tolerant canopy,8.592319574,3.893964355,-0.596804599,-0.833608126
11/13/19,Drought-tolerant understory,4.721203252,2.179698391,-0.483736827,-0.686999171
11/14/19,Drought-sensitive canopy,59.33571204,30.01808735,-0.804820085,-1.50933784
11/14/19,Drought-sensitive understory,0.368079849,0.207370883,-0.765389552,-1.335520715
11/14/19,Drought-tolerant canopy,8.508408909,3.511480282,-0.607516849,-0.84188021
11/14/19,Drought-tolerant understory,4.63888345,2.018409926,-0.503231984,-0.69527474
11/15/19,Drought-sensitive canopy,57.30396164,26.96282301,-0.835150614,-1.525384891
11/15/19,Drought-sensitive understory,0.354788005,0.239628576,-0.8,-1.366689971
11/15/19,Drought-tolerant canopy,8.420935201,4.903169318,-0.622295873,-0.848587759
11/15/19,Drought-tolerant understory,4.553473165,2.156657181,-0.520486618,-0.700912762
11/16/19,Drought-sensitive canopy,55.36998705,21.89836523,-0.870298466,-1.543669545
11/16/19,Drought-sensitive understory,0.34410554,0.216587367,-0.840806878,-1.386347841
11/16/19,Drought-tolerant canopy,8.329533842,4.368613265,-0.640305845,-0.854634809
11/16/19,Drought-tolerant understory,4.465376307,1.926245089,-0.536871218,-0.704593342
11/17/19,Drought-sensitive canopy,53.53809263,25.29003122,-0.90982724,-1.563427324
11/17/19,Drought-sensitive understory,0.336063469,0.184329674,-0.886458333,-1.400305712
11/17/19,Drought-tolerant canopy,8.233840225,4.327139088,-0.660268497,-0.861421509
11/17/19,Drought-tolerant understory,4.374996787,1.958502782,-0.554477459,-0.70781475
11/18/19,Drought-sensitive canopy,51.81258274,24.25317681,-0.953618707,-1.584184195
11/18/19,Drought-sensitive understory,0.33069281,0.184329674,-0.936954365,-1.409132076
11/18/19,Drought-tolerant canopy,8.133489744,3.926222048,-0.68229066,-0.868652667
11/18/19,Drought-tolerant understory,4.282738515,1.95389454,-0.573114084,-0.710683145
11/19/19,Drought-sensitive canopy,50.19776174,15.15650741,-1.001554637,-1.605466123
11/19/19,Drought-sensitive understory,0.328024579,0.138247255,-0.992294974,-1.413395421
11/19/19,Drought-tolerant canopy,8.028117792,3.658944021,-0.706479166,-0.87603309
11/19/19,Drought-tolerant understory,4.189005402,1.230400571,-0.592589839,-0.713304686
11/20/19,Drought-sensitive canopy,48.69793399,16.234836,-1.053516802,-1.626799075
11/20/19,Drought-sensitive understory,0.328089792,0.359442864,-1.052480159,-1.413664237
11/20/19,Drought-tolerant canopy,7.917359763,4.138201173,-0.732940846,-0.883267586
11/20/19,Drought-tolerant understory,4.094201358,1.700441239,-0.61271347,-0.715785532
11/21/19,Drought-sensitive canopy,47.31740385,19.4283476,-1.109386972,-1.647709017
11/21/19,Drought-sensitive understory,0.330919466,0.221195608,-1.117509921,-1.410507015
11/21/19,Drought-tolerant canopy,7.800851049,3.792583035,-0.761782531,-0.890060963
11/21/19,Drought-tolerant understory,3.998730295,1.72809069,-0.633293721,-0.718231842
11/22/19,Drought-sensitive canopy,46.0551105,27.87525489,-1.169046918,-1.667721914
11/22/19,Drought-sensitive understory,0.33645186,0.244236818,-1.187384259,-1.404492243
11/22/19,Drought-tolerant canopy,7.67863445,4.755705579,-0.793111054,-0.896118029
11/22/19,Drought-tolerant understory,3.902507579,2.198131358,-0.654139337,-0.720749775
11/23/19,Drought-sensitive canopy,44.90597063,24.71860923,-1.232378411,-1.686363734
11/23/19,Drought-sensitive understory,0.344601208,0.193546157,-1.262103175,-1.396188411
11/23/19,Drought-tolerant canopy,7.551098014,4.377829749,-0.827033244,-0.901143592
11/23/19,Drought-tolerant understory,3.805068986,1.907812122,-0.675059064,-0.72344549
11/24/19,Drought-sensitive canopy,43.86825487,20.14723333,-1.299263222,-1.703160442
11/24/19,Drought-sensitive understory,0.355362493,0.179721432,-1.341666667,-1.386164009
11/24/19,Drought-tolerant canopy,7.418395008,2.336378613,-0.863655935,-0.904842461
11/24/19,Drought-tolerant understory,3.706249033,1.723482448,-0.695861647,-0.726425146
11/25/19,Drought-sensitive canopy,42.94023385,17.75094757,NA,-1.718641665
11/25/19,Drought-sensitive understory,0.368730696,0.202762641,NA,-1.373634843
11/25/19,Drought-tolerant canopy,7.280678699,3.105955001,NA,-0.90758017
11/25/19,Drought-tolerant understory,3.60588224,1.543761017,NA,-0.729546609
11/26/19,Drought-sensitive canopy,42.12017821,23.8338268,NA,-1.733637834
11/26/19,Drought-sensitive understory,0.384700797,0.198154399,NA,-1.357569552
11/26/19,Drought-tolerant canopy,7.138102352,3.207336321,NA,-0.909898452
11/26/19,Drought-tolerant understory,3.503803124,1.67740003,NA,-0.732612602
11/27/19,Drought-sensitive canopy,41.40635857,16.59427887,NA,-1.748126127
11/27/19,Drought-sensitive understory,0.403267778,0.170504948,NA,-1.338165874
11/27/19,Drought-tolerant canopy,6.990819236,3.340975334,NA,-0.911766412
11/27/19,Drought-tolerant understory,3.399846205,1.308740683,NA,-0.735646566
11/28/19,Drought-sensitive canopy,40.79704555,19.05047177,NA,-1.762083717
11/28/19,Drought-sensitive understory,0.424426621,0.165896706,NA,-1.315621551
11/28/19,Drought-tolerant canopy,6.838982617,3.525305008,NA,-0.913153151
11/28/19,Drought-tolerant understory,3.293846,1.488462114,NA,-0.738671947
11/29/19,Drought-sensitive canopy,40.2905098,12.91690188,NA,-1.77548778
11/29/19,Drought-sensitive understory,0.448172306,0.10138132,NA,-1.290134321
11/29/19,Drought-tolerant canopy,6.68274576,2.410110483,NA,-0.914027772
11/29/19,Drought-tolerant understory,3.185637028,1.129019251,NA,-0.741712187
11/30/19,Drought-sensitive canopy,39.88502194,22.00896303,NA,-1.788315491
11/30/19,Drought-sensitive understory,0.474499816,0.248845059,NA,-1.261901923
11/30/19,Drought-tolerant canopy,6.522261934,3.446964897,NA,-0.914359378
11/30/19,Drought-tolerant understory,3.075053808,1.783389592,NA,-0.744790731
12/1/19,Drought-sensitive canopy,39.57885261,21.7739427,NA,-1.800544025
12/1/19,Drought-sensitive understory,0.50340413,0.152071981,NA,-1.231122097
12/1/19,Drought-tolerant canopy,6.357684405,2.036842894,NA,-0.914117072
12/1/19,Drought-tolerant understory,2.961930858,1.741915416,NA,-0.747931021
12/2/19,Drought-sensitive canopy,39.37027242,19.66336793,NA,-1.812150557
12/2/19,Drought-sensitive understory,0.534880232,0.152071981,NA,-1.519727715
12/2/19,Drought-tolerant canopy,6.189166439,2.488450594,NA,-0.913269957
12/2/19,Drought-tolerant understory,2.846102697,1.529936291,NA,-0.87396551
12/3/19,Drought-sensitive canopy,36.37036103,16.92607228,-1.052380952,-1.676190476
12/3/19,Drought-sensitive understory,0.353754967,0.147463739,-1.008333333,-1.808333333
12/3/19,Drought-tolerant canopy,6.046888208,2.70503796,-0.577777778,-0.713888889
12/3/19,Drought-tolerant understory,2.508941533,1.382472552,-0.746666667,-1
12/4/19,Drought-sensitive canopy,33.37044963,18.26707066,-1.017107584,-1.595831502
12/4/19,Drought-sensitive understory,0.172629701,0.221195608,-1.134259259,-1.714506173
12/4/19,Drought-tolerant canopy,5.904609978,2.884759392,-0.592655678,-0.732952381
12/4/19,Drought-tolerant understory,2.17178037,1.285699474,-0.718024691,-0.896222944
12/5/19,Drought-sensitive canopy,35.11388287,19.8246564,-0.968606702,-1.525562882
12/5/19,Drought-sensitive understory,0.289235442,0.27649451,-1.307407407,-1.585493827
12/5/19,Drought-tolerant canopy,6.066767743,3.45618138,-0.602840863,-0.753322751
12/5/19,Drought-tolerant understory,2.302551543,1.423946729,-0.678641975,-0.809859307
12/6/19,Drought-sensitive canopy,36.83023097,18.20255527,-0.933333333,-1.465384615
12/6/19,Drought-sensitive understory,0.402644402,0.40091704,-1.433333333,-1.491666667
12/6/19,Drought-tolerant canopy,6.226550444,3.622078087,-0.608333333,-0.775
12/6/19,Drought-tolerant understory,2.430297772,1.359431343,-0.65,-0.740909091
12/7/19,Drought-sensitive canopy,38.5202491,17.65878273,-0.901399417,-1.42172315
12/7/19,Drought-sensitive understory,0.512939932,0.359442864,-1.42951895,-1.414023324
12/7/19,Drought-tolerant canopy,6.384308951,2.88015115,-0.606127682,-0.803126336
12/7/19,Drought-tolerant understory,2.555180078,1.290307715,-0.630255102,-0.699086713
12/8/19,Drought-sensitive canopy,40.18469242,13.43763321,-0.850968578,-1.396720633
